,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner FLANKER (00006785),P_US_ALL_OTHERS,100.0,1165.1851851851852,87.90123456790123,4988.271604938272,469.25925925925924,44.32098765432099,60.24691358024692,222.22222222222223,327.1604938271605,59.50617283950618,82.22222222222221,34.5679012345679,52.22222222222223,,,,,
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner FLANKER (00006785),P_US_ULTA,100.0,6.936883845900296,81.27890368269125,16.553132834583536,3.5303694677227644,64.19389314502033,0.0,0.0749123525475194,16.961654863809343,4.466274458883106,0.8824675130097785,0.0,2.4960795868833463,0.7566147607299459,0.2502072575087148,0.0,1.5117312744089415,0.23222829289731012
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner INTENSE (00007045),P_US_ULTA,100.0,10.434332319243964,209.30157291734096,67.82316007508577,47.5758948799275,130.38384361447345,55.65408764321316,24.169849181176776,,,,,,,,,,
Kylie Jenner Fragrances,Kylie Jenner Mist Collection (01409),Kylie Jenner Mist Collection (00007114),P_US_ALL_OTHERS,100.0,3.804692454026633,11.050517860917354,7.719298245614035,13.227647431832592,20.73980131050518,11.464806594800253,17.61995349820334,17.649545550623547,4.8235045444937645,8.936799830902558,,,,,,,
Kylie Makeup,Collection (01319),Kylie Holiday (00006439),P_US_ALL_OTHERS,100.0,0.0,0.0,0.0,0.0,0.0,66.33765165535678,0.0,200.3290150113099,51.42915895537734,264.0345465761875,0.0,0.0,0.0,0.8019740900678594,0.0,0.0,0.0
Kylie Makeup,Collection (01319),Kylie Holiday (00006439),P_US_ULTA,100.0,48.16661081322609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.771224307417338,2.234137622877569,0.0,0.0,0.0,0.0
Kylie Makeup,Collection (01319),Kylie Spring (00006443),P_US_ULTA,100.0,42.85593363805654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02962586761469443,,
Kylie Makeup,Collection (01319),Kylie Summer (00006440),P_US_ALL_OTHERS,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kylie Makeup,Collection (01319),Kylie Summer (00006440),P_US_ULTA,100.0,100.93593758109441,6.122519592408699,13.284777606698613,28.495060809992562,11.087659810044462,0.23528190578343683,3.56728889504005,3.6503295676694982,3.4980883345155096,9.165614241475357,3.2005259242599866,0.9584277632648824,15.426534954933135,1.6902236908118957,1.0743387021434874,5.001470511911147,2.039686521460824
Kylie Makeup,Eyes (01244),Kylie Mascara Mini (00006119),P_US_ALL_OTHERS,100.0,0.0,80.460232530072,13.275938367461881,1.7862171621675988,0.020115058132518,10.254656635957678,5.813251800297703,15.987448203725307,0.9454077322283462,22.78231484088989,0.28161081385525205,9.554652612946052,9.771895240777246,2.043689906263829,1.1706963833125477,9.759826205897735,63.71243512893753
Kylie Makeup,Eyes (01244),Kylie Mascara Mini (00006119),P_US_ULTA,100.0,0.45045045045045046,40.21879021879022,5.362505362505362,10.725010725010724,40.21879021879022,0.0,50.943800943800944,16.08751608751609,8.043758043758045,8.043758043758045,62.65551265551266,4.826254826254826,38.489382239382245,4.826254826254826,8.580008580008581,37.001287001287004,13.406263406263404
Kylie Makeup,Eyes (01244),Kylie matte liquid eyeshadow (00006703),P_US_ULTA,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Kylie Makeup,Face (01243),Kylie Beam Me Up Highlighter Stick (00006712),P_US_ULTA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kylie Makeup,Face (01243),Kylie Blush Sticks (00006132),P_US_ALL_OTHERS,100.0,9.171428571428573,7.199999999999999,0.7857142857142858,18.885714285714286,2.0428571428571427,12.642857142857142,15.057142857142857,9.142857142857142,14.499999999999998,5.171428571428571,3.214285714285714,5.571428571428571,9.085714285714285,13.17142857142857,6.442857142857143,4.4714285714285715,2.2857142857142856
Kylie Makeup,Face (01243),Kylie Blush Sticks (00006132),P_US_ULTA,100.0,44.099378881987576,2.2774327122153206,0.0,4.761904761904762,7.6604554865424435,6.418219461697723,12.629399585921325,10.351966873706004,1.8633540372670807,10.351966873706004,4.3478260869565215,2.2774327122153206,5.175983436853002,3.1055900621118013,7.039337474120083,4.140786749482402,6.211180124223603
Kylie Makeup,Face (01243),Kylie Concealer (00006124),P_US_ALL_OTHERS,100.0,0.0,0.4459634821705993,0.4697238316305083,0.08590280189351708,2.981009997623965,77.41121854038346,0.1644947270301391,12.324310492935865,47.5005940087365,20.73364648255442,17.418163873302504,1.2995083435380987,27.816058340796516,1.1935006305631202,13.737137426205837,11.185641438049458,0.33630033081717325
Kylie Makeup,Face (01243),Kylie Foundation (00006130),P_US_ALL_OTHERS,100.0,0.0,0.6222122268450841,1.950972675137749,0.12931519172382772,2.475729974886615,2.803703287229656,0.1911615877656584,4.113722403388433,22.5720604220548,10.90745530192286,4.507290378200082,86.46875819933281,2.5769331684096106,24.91285280557742,32.934142958881516,12.434873870834739,0.5547434311630871
Kylie Makeup,Face (01243),Kylie Foundation (00006130),P_US_ULTA,100.0,6297.125,188.375,493.9583333333333,147.75,128.5,52.5,66.25,161.25,111.25,123.75,93.75,92.5,41.25,0.0,0.0,48.75,8.75
Kylie Makeup,Face (01243),Kylie Hybrid Blush (00006713),P_US_ALL_OTHERS,100.0,386.3932541203526,21.694135684170178,97.6236105787658,31.238022230739748,102.03142966653891,30.548102721349174,22.5756995017248,66.30893062476045,18.78114220007666,50.67075507857417,43.04331161364507,10.0804906094289,44.691452663855884,,,,
Kylie Makeup,Face (01243),Kylie Hybrid Blush (00006713),P_US_ULTA,100.0,1035.7142857142858,12.5,100.0,132.14285714285714,157.14285714285714,307.14285714285717,180.35714285714286,151.78571428571428,282.14285714285717,726.6369047619047,197.42063492063494,288.88888888888886,136.63194444444443,294.64285714285717,,,
Kylie Makeup,Face (01243),Kylie Setting Spray (00006128),P_US_ALL_OTHERS,100.0,0.0,2.0238713025428128,9.133367929423974,2.4390243902439024,15.827711468604047,3.009859885832901,2.33523611831863,6.382978723404255,2.4390243902439024,10.1712506486767,1.0378827192527245,0.9859885832900882,0.7784120394395433,0.15568240788790866,0.8822003113648157,0.6746237675142709,0.5708354955889984
Kylie Makeup,Face (01243),Kylie Setting Spray (00006128),P_US_ULTA,100.0,0.396470136846144,9.694334313850876,12.725412456835913,5.6145287121115235,3.87517585368973,1.0743061772605194,6.177260519247986,19.01777720936181,7.481775163064331,12.021997697915335,8.65839621434966,0.5115743701240568,9.528072643560558,5.435477682568103,5.729632945389436,9.579230080572962,5.601739352858422
Kylie Makeup,Face (01243),Kylie Skin Tint Foundation (00006730),P_US_ALL_OTHERS,100.0,24.03410604849454,0.0,5.182520650146549,4.3032240873967496,25.157651656452618,6.8878230748734355,2.4735766942001955,1.5765165645261567,3.037569944044764,1.6253663735678123,4.192201794120259,3.8813393729460874,7.607247535305089,5.093702815525358,43.600675015543125,8.339994670929924,10.991207034372502
