House,Brand,PL,CFG,vol,age,active,cv,trend,rep_yoy,conc,cut_rate,epos,archetype,score,band
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions M (00007089),P_US_ULTA,16310.0,21,0.875,2.115457100056478,-0.43620588336962907,0.26915351408994953,0.6714339397422577,0.09383854658592145,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PF (00007144),P_US_ALL_OTHERS,5781.0,13,0.5416666666666666,2.8848267990058853,22.59591836734694,-0.12505050212571708,0.8551277796216395,0.0,True,LUMPY / EVENT-DRIVEN,20,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH (00007143),P_US_ALL_OTHERS,22010.0,13,0.5416666666666666,1.9001040314073072,155.09929078014184,-0.1922832147745426,0.6971694280167938,0.0,True,LUMPY / EVENT-DRIVEN,20,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH PF (00006775),P_US_ALL_OTHERS,82383.0,13,0.5,2.4554455349784043,-0.004061944656004062,-0.2988723595274464,0.7496335598599654,0.006224441790612673,False,LUMPY / EVENT-DRIVEN,5,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH PF (00006775),P_US_ULTA,20232.0,12,0.125,3.6207272685517613,,,1.0,0.0,False,NEW / LAUNCH,5,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty New Core PH (00007122),P_US_ALL_OTHERS,4479.0,1,0.041666666666666664,4.79583152331272,,,1.0,0.0,False,NEW / LAUNCH,0,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty New27 pour Homme (00007262),P_US_ALL_OTHERS,63614.0,1,0.041666666666666664,4.795831523312719,,,1.0,0.0,False,NEW / LAUNCH,0,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty PF 21 (00005854),P_US_ALL_OTHERS,124489.0,36,1.0,0.5511916110739069,0.005849795984325132,0.7516424406912495,0.2554198522481007,0.044992865581416755,True,STABLE & REPEATABLE,100,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty PF 21 (00005854),P_US_ULTA,66196.0,36,1.0,1.675582037069042,0.5522570055106109,0.815366618281303,0.5441883113900092,0.12797881729920565,True,LUMPY / EVENT-DRIVEN,70,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty PF NEW 22 (00006018),P_US_ALL_OTHERS,4553.0,36,1.0,1.0706974156692002,-0.6900612661674609,0.5921262080341114,0.39312996933950006,0.4519740009629273,True,LUMPY / EVENT-DRIVEN,80,HIGH
