House,Brand,PL,CFG,a12,a6,ap12,c12,cfwd,cuts,e6,ep6,last_cons,cut_rate,fwd_vs_run,epos_g,sellin_g
Burberry Make up,Burberry Lips (01204),Burberry Kisses Liquid Matte (00006066),P_US_ALL_OTHERS,436.0,282.0,0.0,3962.0,4460.0,1.0,0.0,0.0,2029.M07,0.002288329519450801,9.087155963302752,,
Burberry Make up,Burberry Lips (01204),Burberry Kisses Matte (00005927),P_US_ALL_OTHERS,2140.0,668.0,1061.0,3458.0,3458.0,48.0,366.0,305.0,2027.M03,0.021937842778793418,1.6158878504672898,0.2,0.25918944392082943
Burberry Make up,Burberry Lips (01204),Burberry Kisses Matte Shade Extension (00006637),P_US_ALL_OTHERS,541.0,283.0,60.0,537.0,537.0,4.0,85.0,56.0,2027.M03,0.007339449541284404,0.9926062846580407,0.5178571428571429,8.433333333333334
Burberry Make up,Burberry Lips (01204),Burberry Kisses Reno (00005785),P_US_ALL_OTHERS,13764.0,2198.0,1878.0,5091.0,5091.0,174.0,760.0,528.0,2027.M03,0.01248385708136031,0.3698779424585876,0.4393939393939394,1.3407880724174654
Burberry Make up,Burberry Lips (01204),Burberry Kisses Sheer (00005722),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Burberry Make up,Burberry Lips (01204),Burberry Lip Velvet (00005719),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Burberry Make up,Burberry Lips (01204),Burberry Liquid Lip Velvet (00005720),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Burberry Make up,Burberry Others (01206),Burberry Colour Multiline (00005747),P_US_ALL_OTHERS,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2026.M10,,,,
Burberry Make up,Burberry Others (01206),Burberry Makeup Gift Sets (00005743),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Flora by Gucci (00837),Flora Garden Gardenia LE (00003443),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Gucci,Flora by Gucci (00837),Flora Garden LE19 (00005179),P_US_ALL_OTHERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
